"","year","type","date_ref","sex","age","deaths"
"365",1981,"x5",1981.5,"m",70,1571.2390027815
"366",1981,"x5",1981.5,"m",75,2.02609800487621
"367",1981,"x5",1981.5,"m",79,1420.29470141822
"368",1981,"x5",1981.5,"m",80,1352.42041825487
"369",1981,"x5",1981.5,"m",85,1740.41818618866
"370",1982,"x5",1982.5,"f",0,6168.88282980235
"371",1982,"x5",1982.5,"f",1,3351.70197651582
"372",1982,"x5",1982.5,"f",5,611.899419163428
"373",1982,"x5",1982.5,"f",10,399.109105344532
"374",1982,"x5",1982.5,"f",15,570.155864777903
"375",1982,"x5",1982.5,"f",20,580.33721950608
"376",1982,"x5",1982.5,"f",25,518.230955664201
"377",1982,"x5",1982.5,"f",30,490.741297898124
"378",1982,"x5",1982.5,"f",35,509.067736408842
"379",1982,"x5",1982.5,"f",40,586.446032342986
"380",1982,"x5",1982.5,"f",45,600.699928962434
"381",1982,"x5",1982.5,"f",50,710.658560026744
"382",1982,"x5",1982.5,"f",55,701.495340771384
"383",1982,"x5",1982.5,"f",60,934.648364046634
"384",1982,"x5",1982.5,"f",65,1034.42564038277
"385",1982,"x5",1982.5,"f",70,1260.45171534829
"386",1982,"x5",1982.5,"f",75,1.01813547281768
"387",1982,"x5",1982.5,"f",79,1242.12527683757
"388",1982,"x5",1982.5,"f",80,1518.03998997117
"389",1982,"x5",1982.5,"f",85,2573.84647528311
"390",1982,"x5",1982.5,"f",95,1.01813547281768
"391",1982,"x5",1982.5,"m",0,7160.7517416982
"392",1982,"x5",1982.5,"m",1,3430.62244934045
"393",1982,"x5",1982.5,"m",5,693.434487392581
"394",1982,"x5",1982.5,"m",10,489.363723167238
"395",1982,"x5",1982.5,"m",15,714.755313505676
"396",1982,"x5",1982.5,"m",20,994.971885277788
"397",1982,"x5",1982.5,"m",25,895.474696750009
"398",1982,"x5",1982.5,"m",30,778.717791844962
"399",1982,"x5",1982.5,"m",35,805.115005127842
"400",1982,"x5",1982.5,"m",40,808.160837429713
"401",1982,"x5",1982.5,"m",45,885.32192241044
"402",1982,"x5",1982.5,"m",50,1067.05658308873
"403",1982,"x5",1982.5,"m",55,1049.79686671146
"404",1982,"x5",1982.5,"m",60,1321.89121901192
"405",1982,"x5",1982.5,"m",65,1355.3953743325
"406",1982,"x5",1982.5,"m",70,1657.94804965166
"407",1982,"x5",1982.5,"m",75,5.07638716978463
"408",1982,"x5",1982.5,"m",79,1443.72451108675
"409",1982,"x5",1982.5,"m",80,1478.24394384128
"410",1982,"x5",1982.5,"m",85,1673.17721116101
"411",1983,"x5",1983.5,"f",0,5866.45417391656
"412",1983,"x5",1983.5,"f",1,3220.33921417877
"413",1983,"x5",1983.5,"f",5,608.840610205155
"414",1983,"x5",1983.5,"f",10,416.414397280783
"415",1983,"x5",1983.5,"f",15,559.970460891029
"416",1983,"x5",1983.5,"f",20,621.058147533687
"417",1983,"x5",1983.5,"f",25,575.242382551693
"418",1983,"x5",1983.5,"f",30,511.100311576903
"419",1983,"x5",1983.5,"f",35,547.752923562497
"420",1983,"x5",1983.5,"f",40,562.006717112451
"421",1983,"x5",1983.5,"f",45,661.783271962125
"422",1983,"x5",1983.5,"f",50,724.907214826205
"423",1983,"x5",1983.5,"f",55,771.741107918909
"424",1983,"x5",1983.5,"f",60,971.294217618258
"425",1983,"x5",1983.5,"f",65,1105.6871282321
"426",1983,"x5",1983.5,"f",70,1394.83551167402
"427",1983,"x5",1983.5,"f",79,1382.61797434549
"428",1983,"x5",1983.5,"f",80,1826.52183061547
"429",1983,"x5",1983.5,"f",85,2832.4324039979
"430",1983,"x5",1983.5,"m",0,7028.98283637343
"431",1983,"x5",1983.5,"m",1,3361.99582688295
"432",1983,"x5",1983.5,"m",5,737.6530928182
"433",1983,"x5",1983.5,"m",10,549.186780642122
"434",1983,"x5",1983.5,"m",15,803.51497610554
"435",1983,"x5",1983.5,"m",20,1049.7370936259
"436",1983,"x5",1983.5,"m",25,941.318301137511
"437",1983,"x5",1983.5,"m",30,898.761391936461
"438",1983,"x5",1983.5,"m",35,820.740391734536
"439",1983,"x5",1983.5,"m",40,883.562495793229
"440",1983,"x5",1983.5,"m",45,937.265262165982
"441",1983,"x5",1983.5,"m",50,1100.40008077001
"442",1983,"x5",1983.5,"m",55,1081.14814565525
"443",1983,"x5",1983.5,"m",60,1350.6752372619
"444",1983,"x5",1983.5,"m",65,1419.57689977788
"445",1983,"x5",1983.5,"m",70,1786.37692670122
"446",1983,"x5",1983.5,"m",75,2.02651948576429
"447",1983,"x5",1983.5,"m",79,1669.85205626977
"448",1983,"x5",1983.5,"m",80,1688.09073164165
"449",1983,"x5",1983.5,"m",85,1995.10843373494
"450",1983,"x5",1983.5,"m",95,1.01325974288214
"451",1983,"x5",1983.5,"m",100,1.01325974288214
"452",1984,"x5",1984.5,"f",0,5160.43336301573
"453",1984,"x5",1984.5,"f",1,3103.37785693084
"454",1984,"x5",1984.5,"f",5,639.588686765891
"455",1984,"x5",1984.5,"f",10,392.497985837256
"456",1984,"x5",1984.5,"f",15,503.332909299071
"457",1984,"x5",1984.5,"f",20,580.612305474282
"458",1984,"x5",1984.5,"f",25,554.174617309079
"459",1984,"x5",1984.5,"f",30,511.467582580673
"460",1984,"x5",1984.5,"f",35,544.006275707077
"461",1984,"x5",1984.5,"f",40,544.006275707077
"462",1984,"x5",1984.5,"f",45,584.679642115083
"463",1984,"x5",1984.5,"f",50,728.053258703303
"464",1984,"x5",1984.5,"f",55,747.373107747106
"465",1984,"x5",1984.5,"f",60,981.244964593139
"466",1984,"x5",1984.5,"f",65,1028.01933596235
"467",1984,"x5",1984.5,"f",70,1431.7024975618
"468",1984,"x5",1984.5,"f",75,1.01683416020014
"469",1984,"x5",1984.5,"f",79,1362.55777466819
"470",1984,"x5",1984.5,"f",80,1834.36882500106
"471",1984,"x5",1984.5,"f",85,2747.48590086079
"472",1984,"x5",1984.5,"m",0,6170.36358277273
"473",1984,"x5",1984.5,"m",1,3302.26281295513
"474",1984,"x5",1984.5,"m",5,723.603405229211
"475",1984,"x5",1984.5,"m",10,510.0644982315
"476",1984,"x5",1984.5,"m",15,739.795928982592
"477",1984,"x5",1984.5,"m",20,1011.02070185172
"478",1984,"x5",1984.5,"m",25,942.202475899854
"479",1984,"x5",1984.5,"m",30,888.56474096678
"480",1984,"x5",1984.5,"m",35,904.757264720161
"481",1984,"x5",1984.5,"m",40,806.590089465289
"482",1984,"x5",1984.5,"m",45,926.009952146473
"483",1984,"x5",1984.5,"m",50,1033.28542201262
"484",1984,"x5",1984.5,"m",55,1133.47666273667
"485",1984,"x5",1984.5,"m",60,1354.09979887648
"486",1984,"x5",1984.5,"m",65,1415.83379568625
"487",1984,"x5",1984.5,"m",70,1805.46639850198
"488",1984,"x5",1984.5,"m",75,1.01203273458631
"489",1984,"x5",1984.5,"m",79,1736.64817255011
"490",1984,"x5",1984.5,"m",80,1806.47843123656
"491",1984,"x5",1984.5,"m",85,1973.4638324433
"492",1985,"x5",1985.5,"f",0,4756.28990527978
"493",1985,"x5",1985.5,"f",1,2291.34393088932
"494",1985,"x5",1985.5,"f",5,521.821347132082
"495",1985,"x5",1985.5,"f",10,380.706235748114
"496",1985,"x5",1985.5,"f",15,481.212681985617
"497",1985,"x5",1985.5,"f",20,552.277845991931
"498",1985,"x5",1985.5,"f",25,490.349631643571
"499",1985,"x5",1985.5,"f",30,491.364848272233
"500",1985,"x5",1985.5,"f",35,576.643045079811
"501",1985,"x5",1985.5,"f",40,587.810427995089
"502",1985,"x5",1985.5,"f",45,581.719128223119
"503",1985,"x5",1985.5,"f",50,734.001622522365
"504",1985,"x5",1985.5,"f",55,752.275521838274
"505",1985,"x5",1985.5,"f",60,988.820996316436
"506",1985,"x5",1985.5,"f",65,1065.97746009472
"507",1985,"x5",1985.5,"f",70,1386.7859147518
